AREA_NAME,CLASSIFICATION,stop_count,area_km2,stops_per_km2
Pelmo Park-Humberlea,Not an NIA or Emerging Neighbourhood,47,4.2762142481928365,10.991030213199114
Thistletown-Beaumond Heights,Neighbourhood Improvement Area,47,3.3395518004173725,14.07374486424376
Beechborough-Greenbrook,Neighbourhood Improvement Area,47,1.8335834082455533,25.6328671979921
Fenside-Parkwoods,Not an NIA or Emerging Neighbourhood,48,3.3155164279508553,14.477382647042486
Humbermede,Neighbourhood Improvement Area,50,4.421686398522002,11.307902798514398
Kingsview Village-The Westway,Neighbourhood Improvement Area,50,5.063357852871428,9.874869889286025
Mount Dennis,Neighbourhood Improvement Area,50,2.1293616135584412,23.481216004661356
Dovercourt Village,Not an NIA or Emerging Neighbourhood,50,1.5030021751712976,33.26675158956539
Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,51,1.6503617974208347,30.902314922523157
Oakridge,Neighbourhood Improvement Area,51,1.8782050286553675,27.15358505695813
Wychwood,Not an NIA or Emerging Neighbourhood,51,1.6820416155641649,30.320296197246197
Bayview Village,Not an NIA or Emerging Neighbourhood,51,5.1591135362902545,9.885419198716141
East L'Amoreaux,Emerging Neighbourhood,52,3.69431636504385,14.07567594698479
L'Amoreaux West,Emerging Neighbourhood,53,3.4607882602978464,15.314430127961268
Flemingdon Park,Neighbourhood Improvement Area,53,2.473284162156217,21.42899744839446
Leaside-Bennington,Not an NIA or Emerging Neighbourhood,54,4.784981380676082,11.285310370919397
High Park North,Not an NIA or Emerging Neighbourhood,54,1.8822608397054432,28.68890371668706
Alderwood,Not an NIA or Emerging Neighbourhood,54,4.978387905605851,10.846884779547608
Don Valley Village,Not an NIA or Emerging Neighbourhood,55,4.212455239254502,13.056518556558862
Bathurst Manor,Not an NIA or Emerging Neighbourhood,56,4.760369447847195,11.763792834466903
Highland Creek,Not an NIA or Emerging Neighbourhood,56,5.248155982470956,10.670414558378631
St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,56,11.314215149914107,4.949525818450176
Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,57,5.511639047449168,10.341751248456676
Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area,58,6.035001736889558,9.610602039344768
Old East York,Not an NIA or Emerging Neighbourhood,58,2.3498693416993977,24.682223377600682
West Rouge,Not an NIA or Emerging Neighbourhood,59,8.582951644039195,6.874092089400867
The Beaches,Not an NIA or Emerging Neighbourhood,59,3.5957204832949756,16.408394443923722
Humber Heights-Westmount,Emerging Neighbourhood,59,2.8027183371387765,21.05099153853312
Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,60,5.17136452735544,11.60235363077047
Moss Park,Not an NIA or Emerging Neighbourhood,60,1.3969023120998216,42.95218032090453
Clanton Park,Not an NIA or Emerging Neighbourhood,61,4.166282894450664,14.64134854626645
Danforth East York,Not an NIA or Emerging Neighbourhood,61,2.18861028379706,27.871567839921685
Junction-Wallace Emerson,Not an NIA or Emerging Neighbourhood,61,2.222866705694235,27.442041326067176
Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,62,3.507312701361862,17.67735165898549
Victoria Village,Neighbourhood Improvement Area,63,4.755237539898437,13.248549514383578
Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,63,4.637601660836695,13.584607865746243
Tam O'Shanter-Sullivan,Not an NIA or Emerging Neighbourhood,63,5.4219071664522165,11.619527606412998
Weston,Neighbourhood Improvement Area,63,2.5656209353719888,24.555459121581283
Yonge-Bay Corridor,Not an NIA or Emerging Neighbourhood,65,1.1187245270872364,58.10188158584227
Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood,66,8.645665769180452,7.633882891387361
Cliffcrest,Not an NIA or Emerging Neighbourhood,68,7.190836375446551,9.456479948867868
Hillcrest Village,Not an NIA or Emerging Neighbourhood,69,5.395573695103004,12.788260136753216
West Hill,Neighbourhood Improvement Area,69,9.625559929274074,7.168414150137003
East End-Danforth,Not an NIA or Emerging Neighbourhood,71,2.6389814068173094,26.90431990789512
Englemount-Lawrence,Emerging Neighbourhood,73,3.4781256036569217,20.988316213551165
Bedford Park-Nortown,Not an NIA or Emerging Neighbourhood,73,5.518287278548019,13.22874223742985
Bridle Path-Sunnybrook-York Mills,Not an NIA or Emerging Neighbourhood,73,8.839357048486232,8.258519211247553
Kennedy Park,Neighbourhood Improvement Area,74,3.5808433769474584,20.665522674460664
Malvern West,Emerging Neighbourhood,74,4.0297960302565645,18.36321229272953
Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,77,4.661570726267559,16.518037485972588
Dorset Park,Emerging Neighbourhood,77,6.012148110623565,12.807402376521583
Junction Area,Not an NIA or Emerging Neighbourhood,78,2.6319297000730777,29.636049928626235
Glenfield-Jane Heights,Neighbourhood Improvement Area,78,5.15069752263173,15.143580001985088
Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood,80,5.517456749826886,14.499434001455482
Steeles,Emerging Neighbourhood,80,4.561098057479619,17.53963606829505
Agincourt North,Not an NIA or Emerging Neighbourhood,81,7.2620157006717445,11.153927964174935
Mimico-Queensway,Not an NIA or Emerging Neighbourhood,81,5.480612089027013,14.779371114801911
Newtonbrook West,Not an NIA or Emerging Neighbourhood,82,4.6956594904625835,17.462935753018566
Newtonbrook East,Not an NIA or Emerging Neighbourhood,82,4.084668671032633,20.075067674771727
Oakdale-Beverley Heights,Neighbourhood Improvement Area,83,6.685141280915293,12.415594003517619
O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,83,4.8767113193064,17.019666444353906
Bendale-Glen Andrew,Not an NIA or Emerging Neighbourhood,83,4.913225283228341,16.893180185188466
High Park-Swansea,Not an NIA or Emerging Neighbourhood,84,5.357614586168678,15.678619402160065
Black Creek,Neighbourhood Improvement Area,85,3.453854925187892,24.61018248917214
Islington,Not an NIA or Emerging Neighbourhood,87,6.105215030158225,14.25011233351191
Downsview,Neighbourhood Improvement Area,90,8.282833362337652,10.865846994970745
Woburn North,Neighbourhood Improvement Area,90,6.29919370058997,14.287542863076393
Annex,Not an NIA or Emerging Neighbourhood,93,2.790299216913705,33.32975884316288
Rockcliffe-Smythe,Neighbourhood Improvement Area,98,5.070942433121241,19.325796199125758
Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,101,6.00906727705188,16.807932969183163
Malvern East,Emerging Neighbourhood,103,4.832296912462781,21.31491542548987
Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,104,7.945942388857393,13.088441233331789
Humber Summit,Neighbourhood Improvement Area,111,7.966913704667492,13.93262235725857
South Riverdale,Not an NIA or Emerging Neighbourhood,112,11.030185300811349,10.153954529826585
Agincourt South-Malvern West,Not an NIA or Emerging Neighbourhood,118,7.873085455429019,14.987770762558041
St.Andrew-Windfields,Not an NIA or Emerging Neighbourhood,119,7.345556183676545,16.200270888192836
Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,127,7.397931598575346,17.166960562930452
Yorkdale-Glen Park,Emerging Neighbourhood,131,6.038309420238597,21.694814041977942
Banbury-Don Mills,Not an NIA or Emerging Neighbourhood,134,10.040970305719915,13.345323800396649
Morningside Heights,Not an NIA or Emerging Neighbourhood,134,28.95480827024236,4.627901478377788
Etobicoke City Centre,Not an NIA or Emerging Neighbourhood,144,10.134665516888337,14.208658367662888
Milliken,Not an NIA or Emerging Neighbourhood,148,9.478036318796088,15.615048837331228
Wexford/Maryvale,Not an NIA or Emerging Neighbourhood,150,10.264126307930084,14.614005663990095
York University Heights,Neighbourhood Improvement Area,216,13.246479313467573,16.306219553779457
West Humber-Clairville,Not an NIA or Emerging Neighbourhood,318,30.14533868500739,10.54889458442726
